,Country_Name,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,region,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
170,Jamaica,74.17500000,2016,5.403823101,6.500000000,8.333333333,9.305555556,9.500000000,9.535714286,6.250000000,7.268416093,7.430473655,5.074200810,8.592263953,6.859851664,7.958677586,7.18,7.224208046,Latin America and Caribbean,73,5.510,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682
171,Jordan,74.18400000,2016,5.798807684,7.984281664,6.666666667,6.333703704,5.000000000,6.595238095,3.333333333,6.238666517,7.586859201,4.756454971,9.618102308,7.579245331,7.771994872,7.46,6.849333258,Middle East and Northern Africa,80,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142
172,Japan,83.98487805,2016,7.643490079,9.678364609,10.000000000,8.092592593,7.500000000,9.190476190,9.250000000,8.733770550,4.535267724,7.586986576,9.524658793,7.495838941,8.196999770,7.47,8.101885275,Eastern Asia,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584
173,Kazakhstan,72.30000000,2016,4.537932016,9.005172166,5.000000000,5.508888889,4.000000000,6.140106103,9.250000000,6.375675545,7.513578869,5.448354820,8.551346498,6.522959426,7.538105028,7.11,6.742837772,Central and Eastern Europe,54,5.919,1.22943,0.95544,0.57386,0.40520,0.11132,0.15011,2.49325
174,Kenya,65.39300000,2016,3.953814707,7.142406129,6.666666667,7.214814815,7.000000000,8.333333333,7.500000000,6.445536690,7.821194755,4.913284598,9.219119170,6.685544813,7.364484937,7.20,6.822768345,Sub-Saharan Africa,122,4.356,0.52267,0.76240,0.30147,0.40576,0.06686,0.41328,1.88326
175,Cambodia,68.97700000,2016,2.566741147,9.587538771,10.000000000,8.272592593,7.500000000,7.892857143,8.333333333,7.238448286,7.897866967,4.277906502,9.308534101,7.324052439,7.061529101,7.17,7.204224143,Southeastern Asia,140,3.907,0.55604,0.53750,0.42494,0.58852,0.08092,0.40339,1.31573
176,Kuwait,75.22400000,2016,5.222398432,8.189148143,5.000000000,4.645925926,4.000000000,7.464285714,1.666666667,5.630574474,6.237318060,4.922444725,8.342265724,6.840410269,7.430758483,6.75,6.190287237,Middle East and Northern Africa,41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085
177,Lebanon,78.80000000,2016,4.339724004,7.599723612,6.666666667,7.153703704,9.000000000,8.297619048,3.333333333,6.429994179,8.668506808,3.954385717,9.694505034,6.815739369,5.825303663,6.99,6.709997090,Middle East and Northern Africa,93,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339
178,Libya,72.31100000,2016,2.198017505,5.277260860,5.000000000,6.938888889,2.500000000,4.845238095,0.833333333,3.880565623,4.750000000,3.206338892,5.659898222,4.763774850,5.301138017,4.74,4.310282812,Middle East and Northern Africa,67,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374
179,Sri Lanka,76.48200000,2016,4.518644917,8.436581039,6.666666667,6.876296296,5.500000000,7.226190476,1.750000000,6.040721833,8.261061180,4.926880553,6.494747822,5.891036906,6.884430365,6.49,6.265360917,Southern Asia,117,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681
180,Lithuania,74.67073171,2016,6.795900860,9.300417808,10.000000000,8.472592593,10.000000000,9.500000000,10.000000000,8.821338926,7.233303802,6.499517474,9.340337377,8.191708434,8.035642881,7.86,8.340669463,Central and Eastern Europe,60,5.813,1.26920,1.06411,0.64674,0.18929,0.01820,0.02025,2.60525
181,Luxembourg,82.68536585,2016,7.897751196,9.904131225,10.000000000,9.140740741,10.000000000,9.678571429,9.250000000,9.257401822,4.169356156,8.350836767,9.310500088,8.309030967,7.870923216,7.60,8.428700911,Western Europe,20,6.871,1.69752,1.03999,0.84542,0.54870,0.35329,0.27571,2.11055
182,Latvia,74.58048780,2016,6.681684163,9.551688703,10.000000000,8.546296296,10.000000000,9.380952381,10.000000000,8.851068084,6.653293105,6.196792987,9.323349908,8.350138737,7.661097526,7.64,8.245534042,Central and Eastern Europe,68,5.560,1.21788,0.95025,0.63952,0.27996,0.08890,0.17445,2.20859
