,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
ef_score,0.47196423538601145,-0.006639311796660874,0.530075452805305,0.4455889433636483,0.3850600416403114,0.1957292408570865,0.37667313431331567,0.414545789684717,0.2731344447378661,0.5060379166706032,0.05226893634882463,0.5981192662398332,0.6328414329775164,0.6867247712550136,0.6214474938310981,1.0,0.6940011579440972,-0.41076427463120707,0.40827125590512436,0.438674703040153,0.3457141664877756,0.48832217903004316,0.34234529767747757,0.14511265140977897,0.22306801615003674,0.018083284064638057
hf_score,0.5101067551057142,-0.01356314490508447,0.6300209089908659,0.582590243288839,0.6013772440025817,0.3391845049981896,0.5722688775337228,0.6385415617386172,0.4746078483954848,0.8124060012472029,-0.09042884943082241,0.6067386879471077,0.5651663548659256,0.6467470066102188,0.5407358497487252,0.6940011579440972,1.0,-0.41884870248472783,0.41697085488206787,0.46066653223940623,0.3916584131176405,0.523275008253549,0.3254218637552771,0.07729273666242463,0.17776636528365686,0.058141667583727664
happiness_rank,-0.6000999058535813,0.0074664765990162165,-0.4976216514432591,-0.3483856702958471,-0.32204701916063005,-0.06382282731972364,-0.26227708577532477,-0.32829890846754395,-0.2583601548569351,-0.38636955748503493,0.18518880268810006,-0.4597499951015317,-0.3652801579037863,-0.392894353788028,-0.3021589236170528,-0.41076427463120707,-0.41884870248472783,1.0,-0.9840540287066114,-0.6125223502227791,-0.5079826456626182,-0.5736022757185588,-0.42874779002240215,-0.2894571162735868,-0.17095954025472926,-0.4096634239214663
happiness_score,0.6003705539138677,-0.009526135715564769,0.49569859151561685,0.34808142610919307,0.32147544510568615,0.06137872844135181,0.2592147226657493,0.32644542006429,0.25875473399606924,0.38556780615964575,-0.18608405337638337,0.4587644006772654,0.3630427221461327,0.3919360166999171,0.29950290860964296,0.40827125590512436,0.41697085488206787,-0.9840540287066114,1.0,0.6097659419157799,0.506630961281133,0.5734724972300268,0.4278455477449689,0.289975236612608,0.168867855763091,0.40970706557477865
economy_gdp_per_capita,0.6604178523123596,0.10969782900999235,0.5969809799063622,0.43921687674054755,0.2796761310251671,0.03290656299217106,0.2852119171081911,0.35000492387612425,0.21783943992536026,0.42970598492215356,-0.26406442067238994,0.563426265590609,0.368812017449832,0.4214021060101103,0.40417453831930067,0.438674703040153,0.46066653223940623,-0.6125223502227791,0.6097659419157799,1.0,0.4077694833869438,0.5784193247611847,0.28136979773254234,0.22010675181163675,0.04082905355832722,0.14306414044702057
family,0.41069004842923196,-0.3142301128773387,0.4402993287113458,0.3140299031069351,0.3344165890511363,0.1774794111162926,0.2426846807049927,0.31991362027162273,0.2586918315288694,0.3777924507538241,-0.19109285058221256,0.39647108460292263,0.32438281794504964,0.31365212175367957,0.29628406881625763,0.3457141664877756,0.3916584131176405,-0.5079826456626182,0.506630961281133,0.4077694833869438,1.0,0.47866916107259444,0.40597945735313395,0.15359501110848214,0.1463656206111826,0.06298374967902864
health_life_expectancy,0.7930224901201169,-0.18025523114314554,0.5789589523495102,0.4962751407870847,0.3606181222962896,0.10154258163908597,0.3372381577684543,0.3771446939176427,0.29864726280679893,0.478008877150508,-0.19256025584681008,0.5562627245483641,0.4568797916437401,0.5044113069138121,0.35306848611569636,0.48832217903004316,0.523275008253549,-0.5736022757185588,0.5734724972300268,0.5784193247611847,0.47866916107259444,1.0,0.3506603083797422,0.16709464427970772,0.09266154327414718,0.09951946003448148
freedom,0.3218504661348514,-0.1722893210403823,0.33165810733981066,0.25311951563465357,0.19595474728369752,0.14571601521243702,0.12652693511759508,0.23572867267006634,0.1554009906700788,0.27281731493044703,-0.08104042855259168,0.37249399298256,0.27355099064627453,0.23112056793513422,0.2962215702653435,0.34234529767747757,0.3254218637552771,-0.42874779002240215,0.4278455477449689,0.28136979773254234,0.40597945735313395,0.3506603083797422,1.0,0.3554422392604278,0.318567838788709,0.0563096111897588
trust_government_corruption,0.18530339729250367,-0.007299517508021006,0.18521643446064637,0.08422637210113527,0.013361536896918054,-0.03734614891396296,-0.036029056990405935,0.003049007298054465,-0.04195474187236056,0.03965517244047509,-0.16813412587439006,0.2098351033937604,0.08492296410703037,0.09237485556518539,0.19321349976316585,0.14511265140977897,0.07729273666242463,-0.2894571162735868,0.289975236612608,0.22010675181163675,0.15359501110848214,0.16709464427970772,0.3554422392604278,1.0,0.16038445315341268,0.11104181959048852
generosity,0.0909807951191341,-0.006678159481967445,0.08891986575476356,0.15237537368204823,0.05548406570206122,0.08382552557091512,0.14225804485743335,0.1470108842729061,0.007677851146443196,0.12472258397945385,0.11878863491764362,0.13077769625825386,0.13132554430777788,0.10605671528468955,0.19970286681886668,0.22306801615003674,0.17776636528365686,-0.17095954025472926,0.168867855763091,0.04082905355832722,0.1463656206111826,0.09266154327414718,0.318567838788709,0.16038445315341268,1.0,0.01980888098497208
